county_name,fdr_result
Modoc,8.4
Modoc,7.4
Modoc,7.9
Modoc,7.7
Modoc,6.6
Modoc,5.7
Modoc,6.1
Modoc,7
Modoc,7.3
Modoc,8
Modoc,6.4
Modoc,6.5
Modoc,6.3
Modoc,6.8
Modoc,8
Modoc,7.1
Modoc,6.4
Modoc,6.7
Modoc,7.8
Modoc,6.8
Modoc,7.3
Modoc,8
Modoc,7.2
Modoc,7
Modoc,7
Modoc,5.4
Modoc,7.8
Modoc,7.9
Modoc,7.5
Modoc,7
Modoc,6.2
Modoc,8.1
Modoc,7.5
Modoc,7.3
Modoc,7.3
Modoc,7.3
Modoc,7.5
Modoc,7.5
Modoc,6.9
Modoc,7.1
Modoc,6.8
Modoc,6.5
Modoc,6.9
Modoc,7
Modoc,7.9
Modoc,8.5
Modoc,8.3
Modoc,7.7
Modoc,7.2
Modoc,7.1
Modoc,7.6
Modoc,9.8
Modoc,9.9
Modoc,9.8
Modoc,9.8
Modoc,9.5
Modoc,9.8
Modoc,10.3
Modoc,8.4
Modoc,8
Modoc,7.8
Modoc,7.4
Modoc,7.9
Modoc,7
Modoc,8.8
Modoc,11
Modoc,9
Modoc,8
Modoc,7.5
Modoc,6
Modoc,8
Modoc,8.1
Modoc,9.6
Modoc,12.1
Modoc,9.2
Modoc,9.5
Modoc,7.7
Modoc,7.3
Modoc,7.4
Modoc,7.8
Modoc,8.2
Modoc,9.8
Modoc,12.3
Modoc,9.1
Modoc,7.5
Modoc,7.1
Modoc,7
Modoc,7.4
Modoc,8
Modoc,9.3
Modoc,10.5
Modoc,9.3
Modoc,7.5
Modoc,7.8
Modoc,7.1
Modoc,7.2
Modoc,7.9
Modoc,9.8
Modoc,11.6
Modoc,9
Modoc,7.4
Modoc,7.7
Modoc,8
Modoc,8.1
Modoc,9.8
Modoc,9.1
Modoc,7.8
Modoc,6.8
Modoc,8
Modoc,8.1
Modoc,7.5
Modoc,9.5
Modoc,10.2
Modoc,8.8
Modoc,7.8
Modoc,7.3
Modoc,7.8
Modoc,6.9
Modoc,7.2
Modoc,8.4
Modoc,10.3
Modoc,10.6
Modoc,9.8
Modoc,9
Modoc,7.9
Modoc,7.2
Modoc,7.3
Modoc,8.5
Modoc,7.8
Modoc,8.9
Modoc,12.4
Modoc,11.9
Modoc,11.2
Modoc,9.9
Modoc,9.7
Modoc,9
Modoc,7.5
Modoc,8.1
Modoc,6.7
Modoc,7.7
Modoc,8.4
Modoc,9.7
Modoc,10.3
Modoc,12.1
Modoc,10.5
Modoc,10.3
Modoc,10.3
Modoc,10.5
Modoc,8.4
Modoc,8.4
Modoc,8
Modoc,8.9
Modoc,9.4
Modoc,10.4
Modoc,11.8
Modoc,11.2
Modoc,10.6
Modoc,10.2
Modoc,10.5
Modoc,9.3
Modoc,8.8
Modoc,8
Modoc,7.7
Modoc,7.4
Modoc,9.3
Modoc,8.6
Modoc,11.5
Modoc,10.1
Modoc,12
Modoc,10.3
Modoc,12.3
Modoc,10.2
Modoc,9.1
Modoc,8.3
Modoc,7.9
Modoc,7.5
Modoc,7.9
Modoc,9.1
Modoc,10.5
Modoc,13.1
Modoc,11.4
Modoc,13.4
Modoc,11.4
Modoc,9
Modoc,10
Modoc,8.6
Modoc,7.2
Modoc,6.9
Modoc,7.7
Modoc,8.6
Modoc,11.5
Modoc,8.8
Modoc,11
Modoc,10.5
Modoc,7.9
Modoc,9.7
Modoc,8.5
Modoc,6.9
Modoc,7.7
Modoc,7.4
Modoc,8.1
Modoc,9.3
Modoc,10.2
Modoc,13
Modoc,11.7
Modoc,11.2
Modoc,10.2
Modoc,9.7
Modoc,9.7
Modoc,8.8
Modoc,8.1
Modoc,8.7
Modoc,9.8
Modoc,7.6
Modoc,10.4
Modoc,11
Modoc,11.3
Modoc,11.8
Modoc,12
Modoc,11.4
Modoc,11.5
Modoc,10.2
Modoc,7.3
Modoc,7.8
Modoc,7.1
Modoc,8.8
Modoc,9.3
Modoc,10.1
Modoc,12.2
Modoc,11.1
Modoc,9.8
Modoc,7.8
Modoc,10.6
Modoc,9.1
Modoc,8.3
Modoc,7.4
Modoc,7.7
Modoc,8
Modoc,8
Modoc,10
Modoc,11.9
Modoc,11.6
Modoc,11.2
Modoc,11.2
Modoc,11.8
Modoc,10
Modoc,8.2
Modoc,8.4
Modoc,8.5
Modoc,7.5
Modoc,9.5
Modoc,10.2
Modoc,12.9
Modoc,12.9
Modoc,12.2
Modoc,11.2
Modoc,11.2
Modoc,11.3
Modoc,10.5
Modoc,8.1
Modoc,11.6
Modoc,5.9
Modoc,9.5
Modoc,9.8
Modoc,10.8
Modoc,12.5
Modoc,11.2
Modoc,11.6
Modoc,10.5
Modoc,9.5
Modoc,9.6
Modoc,8.3
Modoc,8.3
Modoc,8.2
Modoc,9.8
Modoc,9.5
Modoc,13
Modoc,12
Modoc,12.7
Modoc,11.9
Modoc,9.5
Modoc,9.5
Modoc,7.7
Modoc,7.3
Modoc,6.6
Modoc,7
Modoc,8.3
Modoc,8.3
Modoc,11
Modoc,11.7
Modoc,10.8
Modoc,9.3
Modoc,8.1
Modoc,7.5
Modoc,7.9
Modoc,9.7
Modoc,7.8
Modoc,9.4
Modoc,11.4
Modoc,12.3
Modoc,13
Modoc,12.5
Modoc,13
Modoc,10.6
Modoc,9.6
Modoc,8.8
Modoc,7.4
Modoc,10.6
Modoc,6.7
Modoc,7.2
Modoc,10
Modoc,11.1
Modoc,11.4
Modoc,11
Modoc,11
Modoc,10.1
Modoc,9.8
Modoc,10.3
Modoc,7
Modoc,7.2
Modoc,6.3
Modoc,7.3
Modoc,10.7
Modoc,9.8
Modoc,11.2
Modoc,12.1
Modoc,11.2
Modoc,9.7
Modoc,10.1
Modoc,8.2
Modoc,9.9
Modoc,5.1
Modoc,9.9
Modoc,10.4
Modoc,11
Modoc,11.7
Modoc,12.9
Modoc,11.9
Modoc,12.7
Modoc,12
Modoc,8.1
Modoc,9.6
Modoc,10.4
Modoc,8
Modoc,11.3
Modoc,8.3
Modoc,8.6
Modoc,9.1
Modoc,6.6
Modoc,5.4
Modoc,4.9
Modoc,8
Modoc,10.6
Modoc,8.9
Modoc,5.9
Modoc,5.6
Modoc,5.6
Modoc,8.4
Modoc,12.7
Modoc,6
Modoc,6.1
Modoc,8.4
Modoc,9.3
Modoc,8.2
Modoc,6.8
Modoc,9.2
Modoc,9.2
Modoc,8.5
Modoc,10.8
Modoc,10
Modoc,11.2
Modoc,11.6
Modoc,11.1
Modoc,10
Modoc,10.2
Modoc,8.2
Modoc,8.3
Modoc,8.2
Modoc,9.4
Modoc,7.1
Modoc,7.6
Modoc,8.7
Modoc,7.6
Modoc,6.6
Modoc,6.6
Modoc,9.8
Modoc,5.7
Modoc,8.5
Modoc,9.2
Modoc,7.1
Modoc,6.1
Modoc,5.2
Modoc,9.9
Modoc,9.6
Modoc,10.3
Modoc,12.1
Modoc,12
Modoc,12.5
Modoc,12.5
Modoc,9.4
Modoc,10.6
Modoc,9.4
Modoc,8.2
Modoc,8.3
Modoc,6.9
Modoc,6.9
Modoc,7.3
Modoc,7.3
Modoc,7.3
Modoc,8.7
Modoc,8.7
Modoc,8.9
Modoc,7.8
Modoc,6.1
Modoc,3.6
Modoc,8.8
Modoc,9.9
Modoc,10.2
Modoc,8.9
Modoc,10.2
Modoc,8
Modoc,6.8
Modoc,6.3
Modoc,6.2
Modoc,8.8
Modoc,7.8
Modoc,10.3
Modoc,9.3
Modoc,9.4
Modoc,9.3
Modoc,9.2
Modoc,9.2
Modoc,9.7
Modoc,12.5
Modoc,11.2
Modoc,10.9
Modoc,9.4
Modoc,10.4
Modoc,10.6
Modoc,8.8
Modoc,8.3
Modoc,8.7
Modoc,8.9
Modoc,9.5
Modoc,9.6
Modoc,11.5
Modoc,12.6
Modoc,10.2
Modoc,12
Modoc,10.2
Modoc,10.1
Modoc,8.1
Modoc,7.3
Modoc,9
Modoc,10.6
Modoc,8.5
Modoc,10.1
Modoc,10.1
Modoc,10.5
Modoc,11.5
Modoc,10.1
Modoc,10
Modoc,8.7
Modoc,9.5
Modoc,8.5
Modoc,8.2
Modoc,9.9
Modoc,12.6
Modoc,13.4
Modoc,12.1
Modoc,11
Modoc,9.2
Modoc,8.1
Modoc,8
Modoc,11.3
Modoc,12
Modoc,9.7
Modoc,9.1
Modoc,7.5
Modoc,7.5
Modoc,12.8
Modoc,7.4
Modoc,6.9
Modoc,8.4
Modoc,9
Modoc,9.2
Modoc,10.6
Modoc,8.6
Modoc,7.8
Modoc,9.2
Modoc,11.3
Modoc,10.3
Modoc,10.5
Modoc,7.3
Modoc,7.7
Modoc,7.7
Modoc,9.7
Modoc,12.4
Modoc,11.2
Modoc,8.1
Modoc,8.4
Modoc,7.2
Modoc,10.2
Modoc,11.8
Modoc,10.4
Modoc,9.5
Modoc,8.5
Modoc,9.2
Modoc,10.7
Modoc,11.6
Modoc,9.2
Modoc,9.6
Modoc,8.8
Modoc,9.4
Modoc,11.7
Modoc,11.5
Modoc,10.7
Modoc,9.6
Modoc,12.5
Modoc,12.5
Modoc,13
Modoc,13
Modoc,10
Modoc,10.9
Modoc,9.5
Modoc,12.6
Modoc,11.7
Modoc,8.3
Modoc,12.1
Modoc,10.8
Modoc,10.2
Modoc,10.4
Modoc,13
Modoc,13.6
Modoc,9.4
Modoc,4.51
Modoc,9.05
Modoc,10.61
Modoc,7.95
Modoc,9.32
Modoc,5.13
Modoc,9.95
Modoc,9
Modoc,7.17
Modoc,9.02
Modoc,11.77
Modoc,8.4
Modoc,9.1
Modoc,11.7
Modoc,9
Modoc,7.5
Modoc,8.3
Modoc,7.43
Modoc,7.7
Modoc,6.4
Modoc,9.3
Modoc,10.7
Modoc,8.4
Modoc,4.1
Modoc,7.3
Modoc,8.3
Modoc,6.2
Modoc,4.7
Modoc,6.9
Modoc,11.7
Modoc,4.3
Modoc,5.8
Modoc,8.2
Modoc,5.6
Modoc,5.3
Modoc,4.8
Modoc,6.1
Modoc,8.6
Modoc,3.4
Modoc,5
Modoc,6.5
Modoc,11.7
Modoc,6.6
Modoc,3.8
Modoc,7.2
Modoc,6.3
Modoc,4.3
Modoc,9.8
Modoc,10.5
Modoc,11.8
Modoc,5.9
Modoc,10.8
Modoc,8.5
Modoc,7.7
Modoc,11.7
Modoc,7.5
Modoc,10.4
Modoc,9
Modoc,8.7
Modoc,11.2
Modoc,7.2
Modoc,7.4
Modoc,8
Modoc,6.9
Modoc,6.1
Modoc,6.4
Modoc,7.2
Modoc,8.7
Modoc,8.9
Modoc,7.7
Modoc,7.2
Modoc,6.5
Modoc,7
Modoc,7.7
Modoc,7.1
Modoc,6.6
Modoc,7.3
Modoc,7.8
Modoc,6.9
Modoc,9.4
Modoc,8
Modoc,8
Modoc,4.2
Modoc,0.7
Modoc,6
Modoc,6.5
Modoc,7.6
Modoc,6.6
Modoc,5.6
Modoc,7.8
Modoc,8
Modoc,7.4
Modoc,7.2
Modoc,7.4
Modoc,7.4
Modoc,7.4
Modoc,7.5
Modoc,7.5
Modoc,6.9
Modoc,6.4
Modoc,6.7
Modoc,6.8
Modoc,7.5
Modoc,7.8
Modoc,7.5
Modoc,7.1
Modoc,7.2
Modoc,7.2
Modoc,7
Modoc,9.5
Modoc,9.2
Modoc,9.5
Modoc,9.5
Modoc,9.3
Modoc,9.6
Modoc,9.6
Modoc,9.7
Modoc,8.5
Modoc,12.6
Modoc,7.1
Modoc,6.5
Modoc,9
Modoc,11.2
Modoc,9.5
Modoc,10.5
Modoc,8.3
Modoc,6.1
Modoc,5.4
Modoc,6.1
Modoc,9
Modoc,9.6
Modoc,8.4
Modoc,5.5
Modoc,5.9
Modoc,9.4
Modoc,4.6
Modoc,7.9
Modoc,10.6
Modoc,7.4
Modoc,5.1
Modoc,5.2
Modoc,7.8
Modoc,9.5
Modoc,9.4
Modoc,6.5
Modoc,7.9
Modoc,8.6
Modoc,8
Modoc,7
Modoc,5.7
Modoc,5.1
Modoc,10.1
Modoc,11.3
Modoc,7.9
Modoc,5.7
Modoc,5.4
Modoc,9
Modoc,10
Modoc,7.6
Modoc,8.2
Modoc,9.1
Modoc,9.3
Modoc,9.1
Modoc,7
Modoc,7.1
Modoc,6.5
Modoc,6.5
Modoc,6.5
Modoc,7.1
Modoc,3.7
Modoc,3.8
Modoc,5.5
Modoc,6.4
Modoc,5.2
Modoc,3.8
Modoc,4.3
Modoc,9.5
Modoc,11.2
Modoc,9.6
Modoc,8.5
Modoc,8.2
Modoc,8.4
Modoc,8.6
Modoc,10.9
Modoc,8.1
Modoc,8.7
Modoc,8.5
