county_name,Ph_result
Modoc,8
Modoc,8.4
Modoc,8.2
Modoc,8.3
Modoc,8.2
Modoc,8.3
Modoc,8.2
Modoc,8.4
Modoc,7.7
Modoc,8.3
Modoc,8.4
Modoc,7.7
Modoc,7.7
Modoc,8.6
Modoc,8.2
Modoc,8.6
Modoc,8.2
Modoc,7.9
Modoc,7.9
Modoc,7.8
Modoc,8
Modoc,8
Modoc,8.2
Modoc,8.3
Modoc,7.9
Modoc,7.7
Modoc,8.4
Modoc,8.2
Modoc,8
Modoc,8.4
Modoc,8.8
Modoc,8.8
Modoc,7.9
Modoc,8.1
Modoc,8.1
Modoc,7.9
Modoc,7.5
Modoc,7.5
Modoc,7.5
Modoc,8
Modoc,8.3
Modoc,8.3
Modoc,8.3
Modoc,8.2
Modoc,8.1
Modoc,8.9
Modoc,9
Modoc,8.8
Modoc,8.9
Modoc,9
Modoc,8.7
Modoc,8.6
Modoc,8.3
Modoc,8.3
Modoc,8.3
Modoc,8.3
Modoc,8.3
Modoc,8.3
Modoc,7.2
Modoc,7.5
Modoc,7.5
Modoc,8.1
Modoc,8.3
Modoc,7
Modoc,7.6
Modoc,7.8
Modoc,7.4
Modoc,7.7
Modoc,7.7
Modoc,7.6
Modoc,8.3
Modoc,8.4
Modoc,7.4
Modoc,8.3
Modoc,7.8
Modoc,7.6
Modoc,7.9
Modoc,7.6
Modoc,7.3
Modoc,8
Modoc,8
Modoc,7.6
Modoc,7.8
Modoc,7.8
Modoc,7.7
Modoc,8.3
Modoc,7.6
Modoc,7.5
Modoc,7.9
Modoc,7.4
Modoc,7.8
Modoc,7.5
Modoc,7.6
Modoc,7.6
Modoc,7.8
Modoc,7.4
Modoc,7.9
Modoc,7.1
Modoc,7
Modoc,7.7
Modoc,7.7
Modoc,7.7
Modoc,7
Modoc,7.7
Modoc,7.7
Modoc,7.5
Modoc,7.5
Modoc,8.1
Modoc,8.1
Modoc,7.8
Modoc,8.1
Modoc,7.9
Modoc,7.7
Modoc,7.7
Modoc,7.9
Modoc,7.7
Modoc,7.7
Modoc,7.5
Modoc,7.7
Modoc,7.6
Modoc,7.7
Modoc,7.8
Modoc,7.9
Modoc,7.8
Modoc,7.8
Modoc,7.9
Modoc,8.3
Modoc,7.9
Modoc,7.9
Modoc,8.1
Modoc,7.7
