county_name,SpecificConductance_result
Modoc,238
Modoc,279
Modoc,283
Modoc,199
Modoc,202
Modoc,470
Modoc,256
Modoc,160
Modoc,359
Modoc,300
Modoc,237
Modoc,299
Modoc,165
Modoc,332
Modoc,237
Modoc,273
Modoc,316
Modoc,144
Modoc,282.5
Modoc,287.2
Modoc,177.6
Modoc,137.8
Modoc,233.1
Modoc,281.7
Modoc,259
Modoc,139
Modoc,252.9
Modoc,425.1
Modoc,274
Modoc,173
Modoc,352
Modoc,223.1
Modoc,285.4
Modoc,297.8
Modoc,360
Modoc,384
Modoc,243
Modoc,192
Modoc,289
Modoc,270
Modoc,176
Modoc,238
Modoc,323
Modoc,304
Modoc,253
Modoc,269
Modoc,454
Modoc,206
Modoc,188
Modoc,240
Modoc,555
Modoc,256
Modoc,242
Modoc,149
Modoc,556
Modoc,308
Modoc,257
Modoc,230
Modoc,388
Modoc,181
Modoc,227
Modoc,307
Modoc,373
Modoc,174
Modoc,230
Modoc,334
Modoc,305
Modoc,341
Modoc,280
Modoc,230
Modoc,441
Modoc,301
Modoc,363
Modoc,373
Modoc,444
Modoc,264
Modoc,220
Modoc,234
Modoc,284
Modoc,328
Modoc,367
Modoc,195
Modoc,216
Modoc,315
Modoc,227
Modoc,183
Modoc,302
Modoc,130
Modoc,217
Modoc,426
Modoc,249
Modoc,218
Modoc,113
Modoc,448.6
Modoc,326.6
Modoc,150.9
Modoc,111.8
Modoc,216.5
Modoc,245.3
Modoc,186.9
Modoc,193
Modoc,332.9
Modoc,269.7
Modoc,198.6
Modoc,192
Modoc,79
Modoc,108.7
Modoc,158.1
Modoc,513
Modoc,339
Modoc,210
Modoc,166
Modoc,437
Modoc,289
Modoc,176
Modoc,130
Modoc,289
Modoc,273
Modoc,225
Modoc,191
Modoc,396
Modoc,333
Modoc,133
Modoc,180
Modoc,417
Modoc,425
Modoc,255
Modoc,277
Modoc,345
Modoc,341
Modoc,166
Modoc,456
Modoc,378
Modoc,319
Modoc,137
Modoc,171
Modoc,465
Modoc,289
Modoc,118
Modoc,442
Modoc,228
Modoc,175
Modoc,209
Modoc,298
Modoc,371
Modoc,437
Modoc,192
Modoc,213
Modoc,181.8
Modoc,78
Modoc,68
Modoc,85
Modoc,63
Modoc,78
Modoc,82
Modoc,64
Modoc,64
Modoc,77
Modoc,330
Modoc,227
Modoc,543
Modoc,263
Modoc,215
Modoc,332
Modoc,312
Modoc,276
Modoc,212
Modoc,240
Modoc,171
Modoc,230
Modoc,275
Modoc,256
Modoc,242
Modoc,1713
Modoc,262.9
Modoc,245.2
Modoc,276.8
Modoc,167
Modoc,245.5
Modoc,195.4
Modoc,207.1
Modoc,341
Modoc,832
Modoc,297.6
